聚合日期,settlement id,quantity,order postal,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
2025-05-08,93935687004,5.0,166841.0,81.97,4.92,0.0,0.0,0,0,0,0,-19.6,0,-4.92,-9.36,-13.96,-1.2,0.0,37.85
2025-05-09,93935687004,6.0,147044.0,116.95,6.7700000000000005,0.0,0.0,0,0,0,0,-20.0,0,-6.7700000000000005,-14.55,-22.259999999999998,-0.6,0.0,59.54
2025-05-10,46967843502,2.0,33165.0,49.99,2.1,0.0,0.0,0,0,0,0,-20.0,0,-2.1,-4.5,-6.16,-0.6,0.0,18.729999999999997
2025-05-11,70451765253,3.0,216697.0,42.97,3.09,0.01,0.0,0,0,0,0,-1.61,0,-3.09,-6.21,-10.629999999999999,0.0,0.0,24.53
2025-05-12,164605550757,6.0,405206.0,105.95,7.1899999999999995,2.71,0.11,0,0,0,0,-22.82,0,-7.3,-12.66,-22.11,-0.6,58.08,108.55
2025-05-13,188743768008,10.0,315425.0,58.96,2.0300000000000002,8.26,-0.11,0,0,0,0,-10.95,0,-1.9200000000000002,-8.67,-28.71,-1.7999999999999998,0.0,17.09
2025-05-14,23592971001,1.0,46307.0,11.99,0.84,0.0,0.0,0,0,0,0,0.0,0,-0.84,-1.8,-3.33,0.0,0.0,6.86
2025-05-15,70778913003,3.0,0.0,0.69,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.95,31.64,31.38
2025-05-16,94371884004,6.0,182636.0,78.67,3.9,0.11,0.0,0,0,0,0,-22.57,0,-3.9,-8.41,-13.57,-1.7999999999999998,0.0,32.43
2025-05-18,47185942002,2.0,68606.0,28.979999999999997,0.92,0.0,0.0,0,0,0,0,-2.9,0,-0.92,-3.91,-7.48,0.0,0.0,14.69
2025-05-19,70778913003,3.0,106876.0,27.98,2.23,0.0,0.0,0,0,0,0,-2.8,0,-2.23,-3.7800000000000002,-6.98,-0.6,0.0,13.82
2025-05-20,47185942002,2.0,70890.0,27.98,1.79,0.0,0.0,0,0,0,0,-2.8,0,-1.79,-3.7800000000000002,-6.98,0.0,0.0,14.42
2025-05-21,47185942002,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,-2.75,-3.35
2025-05-22,141661628206,10.0,212850.0,188.93,6.9799999999999995,0.0,0.0,0,0,0,0,-7.6,0,-6.9799999999999995,-27.19,-35.019999999999996,-1.8,0.0,117.32000000000001
2025-05-23,23696773201,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,0.0,-0.6
2025-05-24,47393546402,2.0,75115.0,48.99,2.42,0.0,0.0,0,0,0,0,-19.6,0,-2.42,-4.41,-6.16,-0.6,0.0,18.22
2025-05-25,189574185608,10.0,564652.0,59.95,4.35,0.04,0.0,0,0,0,0,-0.6400000000000003,0,-4.35,-9.32,-20.12,-1.8,0.0,28.11
2025-05-26,142180639206,5.0,263770.0,102.95,8.0,2.1,0.0,0,0,0,0,-1.6,0,-8.0,-15.21,-23.02,0.0,-39.56,25.659999999999997
2025-05-27,94787092804,4.0,97865.0,47.97,2.91,0.0,0.0,0,0,0,0,-3.2,0,-2.91,-6.71,-11.45,-0.6,0.0,26.009999999999998
2025-05-28,234602297640,10.0,435044.0,96.13000000000001,2.34,1.88,0.0,0,0,0,0,-5.98,0,-2.34,-14.83,-27.42,-1.08,0.0,48.7
2025-05-29,71090319603,3.0,171273.0,15.99,1.4,0.0,0.0,0,0,0,0,0.0,0,-1.4,-2.4,-14.99,-0.6,0.0,-2.0
2025-05-30,165877412407,8.0,267043.0,87.97,2.23,0.0,0.0,0,0,0,0,-20.8,0,-2.23,-10.51,-19.19,-502.05,0.0,-464.58
2025-05-31,142180639206,8.0,219782.0,51.99,1.53,0.0,0.0,0,0,0,0,-19.900000000000002,0,-1.53,-5.65,-13.46,-1.8,0.0,11.18
2025-06-01,94787092804,6.0,103901.0,80.94999999999999,5.48,0.99,0.0,0,0,0,0,-9.09,0,-5.48,-10.93,-18.75,-0.6,0.0,42.57
2025-06-02,165272012397,5.0,84436.0,-39.00999999999999,2.82,0.0,0.0,0,0,0,0,-20.8,0,-2.82,5.97,-9.49,-85.25,-9.44,-158.01999999999998
2025-06-03,165877412407,8.0,316847.0,64.96,4.36,0.0,0.0,0,0,0,0,-4.8,0,-4.36,-9.38,-30.38,-0.6,0.0,19.8
2025-06-04,94787092804,6.0,68164.0,16.99,1.27,6.57,0.0,0,0,0,0,0.0,0,-1.27,-2.55,-22.17,-2.4,0.0,-3.56
2025-06-05,142258052976,6.0,114995.0,0.0,0.0,-6.57,0.0,0,0,0,0,0.0,0,0.0,0.0,-16.22,-1.8,179.86,155.27
2025-06-06,189510681988,8.0,344295.0,96.94,6.38,0.0,0.0,0,0,0,0,-6.2,0,-6.38,-13.62,-22.9,-1.2,-18.0,35.019999999999996
2025-06-07,47548373942,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,-159.43,-160.03
2025-06-08,118870934855,5.0,249891.0,113.95,6.890000000000001,0.0,0.0,0,0,0,0,-24.500000000000004,0,-6.890000000000001,-13.42,-21.26,0.0,0.0,54.769999999999996
2025-06-09,142645121826,7.0,301571.0,19.98,0.8700000000000001,0.02,0.0,0,0,0,0,-2.5,0,-0.8700000000000001,-3.1,-9.92,-1.2,-7.25,-3.9700000000000006
2025-06-10,71322560913,3.0,105690.0,62.45,3.34,0.0,0.0,0,0,0,0,-19.6,0,-3.34,-6.21,-9.49,-0.52,0.0,26.63
